price,           description   ,                            area,                                  url
1.2,"1 BHK Flat for Sale in Royal Pristo, Royal Pristo, Malad East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/royal-pristo-malad-east-mumbai-pdpid-4d4235313233303339
1.81,"2 BHK Flat for Sale in Northern Hills, Northern Hills, Dahisar East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/northern-hills-dahisar-east-mumbai-pdpid-4d4235323333333737
82.6,"1 BHK Flat for Sale in RNA NG Bliss, RNA NG Bliss, Mira Road East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/rna-ng-bliss-mira-road-east-mumbai-pdpid-4d4235343230343833
2.45,"2 BHK Flat for Sale in Sheth Codename Younique, Sheth Codename Younique, Chunabhatti, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/sheth-codename-younique-chunabhatti-mumbai-pdpid-4d4235343232373239
2.45,"2 BHK Flat for Sale in ANJ Ananda Anushasan, ANJ Ananda Anushasan, Mahim, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/anj-ananda-anushasan-mahim-mumbai-pdpid-4d4235343233383135
2.9,"3 BHK Flat for Sale in Rejuve 360, Rejuve 360, Mulund West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/rejuve-360-mulund-west-mumbai-pdpid-4d4235313238303331
3.62,"3 BHK Flat for Sale in Kanakia Silicon Valley, Kanakia Silicon Valley, Powai, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/kanakia-silicon-valley-powai-mumbai-pdpid-4d4235313336343131
3.48,"3 BHK Flat for Sale in The Cozy Corner, The Cozy Corner, Ghatkopar East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/the-cozy-corner-ghatkopar-east-mumbai-pdpid-4d4235343233323637
9.99,"4 BHK Flat for Sale in Rishabraj Trident, Rishabraj Trident, Juhu, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/rishabraj-trident-juhu-mumbai-pdpid-4d4235343230303139
4.4,"4 BHK Flat for Sale in Runwal Sanctuary, Runwal Sanctuary, Mulund West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/runwal-sanctuary-mulund-west-mumbai-pdpid-4d4235323233323635
5.49,"4 BHK Flat for Sale in Dosti Eastern Bay, Dosti Eastern Bay, Wadala East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/dosti-eastern-bay-wadala-east-mumbai-pdpid-4d4235313933373939
4.98,"3 BHK Flat for Sale in Kanakia Silicon Valley, Kanakia Silicon Valley, Powai, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/kanakia-silicon-valley-powai-mumbai-pdpid-4d4235313336343131
4.01,"3 BHK Flat for Sale in Kanakia Silicon Valley, Kanakia Silicon Valley, Powai, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/kanakia-silicon-valley-powai-mumbai-pdpid-4d4235313336343131
14.1,"4 BHK Flat for Sale in Lodha Adrina, Lodha Adrina, Worli, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/lodha-adrina-worli-mumbai-pdpid-4d4235343033313539
